Family,Chip Type,Soviet Manufacturer,Soviet Part Number,Western Manufacturer,Western Part Number,Blank,Blank,Description,Comments,Blank,Blank,Reference 1,Reference 2,Reference 3,Reference 4
, CPU ,, 1807ВМ2 , DEC  , ~ DCT-11AA ?,,, 32 bit, ,,,,,,
, CPU ,, 1807ВМЗ , DEC , DC78032 ,,, 32 bit, ,,,,,,
, FPU,, 1807ВМ4 , DEC , DC78132 ,,, 32 bit, ,,,,,,
, CPU*,, 1808ВМ1 ,,,,, Camera CPU , ,,,,,,
, CPU*,, 1808ВМ2 ,,,,, Camera CPU, ,,,,,,
8086, CPU,, 1810ВМ86 , Intel , i8086 ,,," 16bit,", ,,,,,,
8086, CPU,," 1810ВМ86Б
 1810BM86M ", Intel  , i8086-2,,, 16bit, ,,,,,,
8086, FPU,, 1810ВМ87 , Intel , i8087 ,,, , ,,,,,,
8088, CPU,, 1810ВМ88 , Intel , i8088 ,,, 16/8bit, ,,,,,,
, ,, 1810ВМ89 , Intel , i8089  ,,, , ,,,,,,
, ,, 1811ВМ1 , DEC , DC302F ,,, , ,,,,,,
, ,, 1811ВУ1 , DEC , DC303A ,,, , ,,,,,,
, ,, 1811ВУ2 , DEC , DC303D ,,, , ,,,,,,
, ,, 1811ВУ3 , DEC , DC303 ,,, , ,,,,,,
, BSP,, 1817BC1 ,,,,,  8 bit  I2L, ,,,,,,
, CPU,, 1818ВМ01 , SIGNETICS , 8X300 ,,, 8bit, ,,,,,,
8085, CPU,, 1821ВМ85 , Intel , 80C85 ,,," 8bit, CMOS", ,,,,,,
, BSP,, 1822BC1 , USSR, original ?,,, 8bit, ,,,,,,
2900, BSP,, 1825BC1 , AMD , Am2901 ?,,, CMOS ? , ,,,,,,
2900, BSP,, 1825BC2 , AMD, Am2903 ?,,, CMOS ?, ,,,,,,
2900, BSP,, 1825BC3 , AMD, Am29xx ?,,, CMOS ?, ,,,,,,
, CPU,, 1826ВМ1 ,,,,,  CMOS ?, ,,,,,,
, MCU,, 1829ВМ1 , NEC  , µPD7502,,," 4bit, 2048x8 ROM", ,,,,,,
, MCU,, 1829ВМ2 , NEC , µPD7507 ,,," 4bit, CMOS", ,,,,,,
PDP-11, CPU,, 1831ВМ1 , DEC , PDP-11 compatible ,,," 16/32bit, 15MHz", ,,,,,,
, FPU,, 1831ВМ2 , DEC , DC321  ,,, , ,,,,,,
, BSP,, 1832BC1 ,,,,, 16 bit , ,,,,,,
8086, CPU,, 1834ВМ86 , Intel , i80C86 ,,, , ,,,,,,
8088, CPU,, 1834ВМ88 , Intel , i80C88 ,,, , ,,,,,,
, CPU ?,, 1835ВМ1 ,,,,, , ,,,,,,
8086, CPU ,, 1835ВМ86 , Intel , i80C86 ,,, , ,,,,,,
PDP-11, CPU,, 1836ВМ2 , DEC , PDP-11 compatible ,,, CMOS 16 bit, ,,,,,,
PDP-11, CPU,, 1836ВМ21 , DEC , PDP-11 compatible ,,, CMOS 16 bit, ,,,,,,
PDP-11, CPU,, 1836ВМЗ , DEC  , PDP-11 compatible,,, CMOS 16 bit 16 MHz, ,,,,,,
, CPU,, 1836ВМ31 ,,,,, CMOS 16 bit 16 MHz, ,,,,,,
PDP-11, CPU,, 1836ВМ4 , DEC , PDP-11 compatible ,,, CMOS 16 bit 16 MHz, ,,,,,,
PDP-11, FPU,, 1836BM41 , DEC , PDP-11 compatible ,,, CMOS 16 bit 16 MHz, ,,,,,,
, BSP ?,, 1838BC1 , AMD ?, Am29501 ?,,, 8 bit, ,,,,,,
, CPU,, 1839ВМ1 , DEC , VAX-11 compatible ,,, 32 bit 10 MHz, ,,,,,,
, FPU,, 1839BM2 , DEC , VAX-11 compatible ,,, 32 bit 10 MHz, ,,,,,,
, CPU,, 1839ВМЗ , DEC , VAX-11 compatible ,,, 32 bit 15 MHz, ,,,,,,
, FPU,, 1839BM4 , DEC , VAX-11 compatible ,,, 32 bit 15 MHz, ,,,,,,
, CPU ?,, 1839ВМ5  ,,,,, , ,,,,,,
, BSP,, 1843BC1 , AMD   , Am29C332,,, 32 bit, ,,,,,,
, FPU,, 1843ВМ1 , AMD , Am29C325  ,,, , ,,,,,,
, FPU ,, 1843ВМ2 , Motorola , MC68C881  ,,, , ,,,,,,
, BSP ?,, 1845BC1 , INMOS , IMST800M ,,, 32 bit , ,,,,,,
, CPU,, 1845BM1  ,,,,, 32 bit CMOS, ,,,,,,
286, CPU,, 1847ВМ2 , Intel , i80C286  ,,, If exist ?, ,,,,,,
Z80, CPU,, 1858BM1 , Zilog , Z80  ,,, , ,,,,,,
Z80, CPU,, 1858ВМ2 , Zilog , Z80A  ,,, , ,,,,,,
Z80, CPU,, 1858ВМЗ , Zilog , Z80L  ?,,, , ,,,,,,
, CPU,, 1861ВМ1 ,,,,, , ,,,,,,
, CPU,, 1865ВМ1 ,,,,, RISC 16 bit, ,,,,,,
, CPU,, 1866ВМ1 ,,,,, 16 bit, ,,,,,,
TMS320, DSP,, 1867ВМ1 , TI , TMS320C10  ,,, 32 bit, ,,,,,,
TMS320, DSP,, 1867ВМ16 , TI , TMS320C16 compatible ,,, 32 bit, ,,,,,,
TMS320, DSP,, 1867ВМ2 , TI , TMS320C25  ,,, 32 bit, ,,,,,,
TMS320, DSP,, 1867ВМЗ , TI , TMS320C30  ,,, 32 bit, ,,,,,,
, FPU,, 1872ВМ1 ,,,,, , ,,,,,,
R3000, CPU,, 1876ВМ1 , MIPS, R3000  ,,," RISC 32 bit, 16/25 MHz", ,,,,,,
, FPU,, 1876ВМ2 , PS , PR3010 ,,," RISC 32 bit, 32/50 MHz", ,,,,,,
, CPU ?,, 1878ВМ1 ,,,,, , ,,,,,,
, CPU ?,, 1879ВМ1  , , ~NM6403 ? NeuroMatrix ?,,, 40 MHz , ,,,,,,
, CPU ?,, 1879ВМ2  , , ~NM6404 ? NeuroMatrix ?,,, 133 MHz , ,,,,,,
, CPU ?,, 1890ВМ1 ,, 1B572  ,,, RISC 33 MHz, ,,,,,,
, ,, 1892ВМ3 , MIPS ?, MIPS-32 ?,,, , ,,,,,,
Z80, CPU,, Т34ВМ1 , Zilog  , Z80A ,,, , ,,,,,,
PDP-11, MCU ,, Т36ВМ1  , DEC, PDP-11 compatible ,,, , ,,,,,,
8080,,,KP580BM80A,,,,,PDIP,brown,,,,,,
8080,,,KP580BM80A,,,,,PDIP,dark brown,,,,,,
8086,,,KM1810BM86,,,,,CDIP,White Ceramic/Silver Cap,,,,,,
1801,,,K1801VM1,,,,,,,,,,,,
1801,,,K1801VM1,,,,,5 MHz,,,,,,,
1801,,,KR1801VM1,,,,,,,,,,,,
1801,,,KR1801VM1,,,,,64-pin ceramic DIP,,,,,,,
1801,,,KM1801VM3,,,,,,,,,,,,
1801,,,KM1801VM3,,,,,5 MHz,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1xx Series:,,Svetlana,100ИП181,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
1xx Series:,,Electronica,134ИП3,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
1xx Series:,,Electronica,ОС134ИП3,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
1xx Series:,,Integral,К155ИП3,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
5xx Series:,,Svetlana,500ИП181,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
5xx Series:,,Electronpribor,530ИП3,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
5xx Series:,,Electronica,КР531ИК2,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
5xx Series:,,Electronpribor,КР531ИП3,,,,,, Brown,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
5xx Series:,,Electronpribor,КР531ИП3,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
5xx Series:,,Micron,533ИП3,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
5xx Series:,,Mion,К555ИП3,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
5xx Series:,,NZPP,564ИП3,,,,,,,,,http://www.silirium.ru/ussr.html [Accessed 1Jan 2013],,,
,,,,,,,,,,,,,,,
